Service,Category,Skils,Similar Services
Azure Remote Rendering,Mixed Reality,,
Azure Spatial Anchors,Mixed Reality,,
Azure App Configuration,Mobile,,
Azure Communication Services,Mobile,,
Azure Mobile Apps,Mobile,,
Azure Notification Hubs,Mobile,,
Azure Bastion,Networking,,
Azure Content Delivery Network,Networking,,
Azure DNS,Networking,,
Azure ExpressRoute,Networking,,
Azure Firewall,Networking,,
Azure Front Door,Networking,,
Azure Load Balancer,Networking,,
Azure Network Watcher,Networking,NSG,
Azure Private Link,Networking,,
Azure Traffic Manager,Networking,DNS,
Azure Virtual Network,Networking,"Subnet, NSG, Peering",
Azure VPN Gateway,Networking,"IPSec, Subnet, Certificates",
Azure Web Application Firewall,Networking,,
Azure Active Directory,Security,,
Azure Active Directory Domain Services,Security,,
Azure Advanced Threat Protection,Security,,
Azure Application Gateway,Security,Certificates,
Azure Defender,Security,,
Azure Firewall,Security,,
Azure Information Protection,Security,,
Azure Key Vault,Security,Certificates,
Azure Multi-Factor Authentication,Security,,
Azure Security Center,Security,,
Azure Sentinel,Security,,
Azure Archive Storage,Storage,,
Azure Backup,Storage,,
Azure Blob Storage,Storage,,Amazon Elastic Block Store (EBS)
Azure Data Box,Storage,"Azure Blob Storage, Azure File Storage",
Azure Data Box Edge,Storage,,
Azure Data Box Gateway,Storage,,
Azure Data Lake Storage,Storage,,
Azure Data Lake Storage Gen1,Storage,,
Azure Data Lake Storage Gen2,Storage,,
Azure Disk Storage,Storage,,
Azure File Storage,Storage,,
Azure NetApp Files,Storage,,
Azure Queue Storage,Storage,,
Azure Storage Explorer,Storage,,
Azure Table Storage,Storage,NoSQL,
Azure API Gateway,Web,,
App Service,Web,,
App Service (Linux),Web,,
App Service Environment,Web,,
Azure API Management,Web,"Json,REST",
Azure Content Delivery Network,Web,,
Azure Front Door,Web,,
Azure SignalR Service,Web,,
Azure Spring Cloud,Web,,
Azure Static Web Apps,Web,,
Web Apps,Web,,
